Questions,Answers
গাইবান্ধার উচ্চ মাধ্যমিক বিদ্যালয়ের সংখ্যা কতটি,৩৫৩ টি
গাইবান্ধার সরকারী প্রাথমিক বিদ্যালয়ের সংখ্যা কতটি,৭৩৭ টি
গাইবান্ধার বেসরকারী রেজিস্ট্রেশন প্রাপ্ত বিদ্যালয়ের সংখ্যা কতটি,৫১৪ টি
গাইবান্ধার মাদরাসার সংখ্যা কতটি,২৪০ টি
গাইবান্ধার ইবতেদায়ী মাদরাসার সংখ্যা কত,৩৫১ টি
গাইবান্ধার পলিটেকনিক ইনস্টিটিউট কতটি,নেই
গাইবান্ধার মেডিকেল এ্যাসিসটেন্ট ট্রেনিং স্কুল কতটি,নেই
গাইবান্ধার মোট জমির পরিমাণ কত,২১৭০৪০ হেক্টর
গাইবান্ধার আবাদী জমির পরিমাণ কত,১৬০৩৯৭ হেক্টর
গাইবান্ধার সেচযোগ্য জমির পরিমাণ কত,১৩৯৬৪০ হেক্টর
গাইবান্ধার অন আবাদি জমির পরিমাণ কত,৫৬৬৪৩ হেক্টর
গাইবান্ধার গভীর নলকূপের সংখ্যা কত,৩৪৭ টি
গাইবান্ধার অগভীর নলকূপের সংখ্যা কত,৪১২৬৬ টি
গাইবান্ধার শক্তিচালিত পাম্প এর সংখ্যা কত,৮৩ টি
গাইবান্ধার উপজেলা ভূমি অফিস কতটি,৭ টি
গাইবান্ধার ইউনিয়ন ভূমি অফিস কতটি,৬৩ টি
গাইবান্ধার বন্দোবস্তযোগ্য খাস জমির পরিমাণ কত,৪১১৮ দশমিক ৯৯ একর
গাইবান্ধার বন্দোবস্তযোগ্য খাস জমির পরিমাণ কত,১৮ দশমিক ২৪ একর
গাইবান্ধার আদর্শ গ্রামের সংখ্যা কত,২৩ টি
গাইবান্ধার আশ্রয়ণ প্রকল্পের সংখ্যা কত,৫ টি
গাইবান্ধার আবাসন প্রকল্প কতটি,৫ টি
গাইবান্ধার খাস পুকুরের সংখ্যা কত,৭২ টি
গাইবান্ধার পরিত্যক্ত সম্পত্তির পরিমাণ কত,১২৭০৫ একর
গাইবান্ধার অর্পিত সম্পত্তির পরিমাণ কত,৩২২২ একর
গাইবান্ধার জেনারেল হাসপাতাল কতটি,১ টি
গাইবান্ধায় সরকারী হাসপাতাল কতটি,৬ টি
গাইবান্ধায় বেসরকারী হাসপাতাল কতটি,নেই
গাইবান্ধায় মেডিকেল এ্যাসিসটেন্ট ট্রেনিং স্কুল কতটি,নেই
গাইবান্ধায় বেসরকারী মেডিকেল কলেজ কতটি,নেই
গাইবান্ধায় এফডব্লিউসির সংখ্যা কতটি,৫৪ টি
গাইবান্ধায় ইপিআই কভারেজ কত ভাগ,শতকরা ৭২ ভাগ
গাইবান্ধায় স্যানিটেশন কভারেজ কত ভাগ,শতকরা ৮৯ ভাগ
গাইবান্ধায় উপজেলা স্বাস্থ্য কমপ্লেক্সের সংখ্যা কতটি,৬ টি
গাইবান্ধায় মাতৃসদন ও শিশুকল্যাণ কেন্দ্র কতটি,১ টি
গাইবান্ধায় টিবি ক্লিনিক কতটি,১ টি
গাইবান্ধায় কুটির শিল্প কতটি,"১,৪৭,১৯২ টি"
গাইবান্ধায় ক্ষুদ্র শিল্প কতটি,"১,৬২১ টি"
গাইবান্ধায় মাঝারি শিল্প কতটি,২ টি
গাইবান্ধায় বৃহৎ শিল্প কতটি,১ টি
গাইবান্ধায় পশু চিকিৎসালয় কতটি,৭ টি
গাইবান্ধায় কৃত্রিম প্রজনন কেন্দ্র কতটি,১৮ টি
গাইবান্ধায় পশু কল্যাণ কেন্দ্র কতটি,১৮ টি
গাইবান্ধায় গবাদি পশু খামার কতটি,৬৬৯ টি
গাইবান্ধায় মুরগির খামার কতটি,৫৯৬ টি
গাইবান্ধার দুগ্ধ খামার কতটি,৬৬৯ টি
গাইবান্ধার পাকা রাস্তা কত কিলোমিটার,৬৮৩৬২ কিলোমিটার
গাইবান্ধার কাঁচা রাস্তা কত কিলোমিটার,২১৭৮৭৩ কিলোমিটার
গাইবান্ধার এইচবিবি রাস্তা কত কিলোমিটার,১৭৬০৫ কিলোমিটার
গাইবান্ধার রেলপথ কত কিলোমিটার,৫৬ কিলোমিটার
গাইবান্ধার হাইওয়ে কত কিলোমিটার,৩২.৮ কিলোমিটার
গাইবান্ধার মৎস্য খামার কতটি,৬৪ টি
গাইবান্ধার মৎস্য পোনা উৎপাদন খামার কতটি,২৩৩ টি
গাইবান্ধার আদি নাম কি,ভবানীগঞ্জ
গাইবান্ধার বর্তমান জেলা প্রশাসকের নাম কি,আব্দুল মতিন
গাইবান্ধা কোন নদীর তীরে অবস্থিত,ঘাঘট নদীর তীরে অবস্থিত
গাইবান্ধা কত সালে প্রতিষ্ঠিত হয়েছিল,১৯৮৪ সালে
গাইবান্ধার বর্তমান জেলা প্রশাসক কে,আব্দুল মতিন
গাইবান্ধার বর্তমান পুলিশ সুপারের নাম কি,তৌহিদুল ইসলাম
গাইবান্ধার বর্তমান মেয়র এর নাম কি,মতলুবুর রহমান
গাইবান্ধা বর্তমান মেয়র কে,মতলুবুর রহমান
গাইবান্ধা সরকারি বালক উচ্চ বিদ্যালয় কত সালে স্থাপিত হয়,১৮৮৫ সালে
গাইবান্ধা সরকারি বালক উচ্চ বিদ্যালয় কত সালে স্থারকারীকরণ করা হয়,১৯৬৮ সালে
গাইবান্ধা সরকারি বালক উচ্চ বিদ্যালয় প্রাঙ্গনের মালিক কে ছিলেন,শরৎ চন্দ্র রায় চৌধুরী
গাইবান্ধা সরকারি বালক উচ্চ বিদ্যালয়ের আয়তন কত,৬ একর ৬৮ শতাংশ
গাইবান্ধা সরকারি বালক উচ্চ বিদ্যালয়ের আয়তন কত,৬ একর ৬৮ শতাংশ
